Název èásti obce;Název ulice;Èíslo domovní;PSÈ
Bílá Tøemešná;;1;54472
Bílá Tøemešná;;2;54472
Bílá Tøemešná;;3;54472
Bílá Tøemešná;;4;54472
Bílá Tøemešná;;5;54472
Bílá Tøemešná;;6;54472
Bílá Tøemešná;;7;54472
Bílá Tøemešná;;8;54472
Bílá Tøemešná;;9;54472
Bílá Tøemešná;;10;54472
Bílá Tøemešná;;11;54472
Bílá Tøemešná;;12;54472
Bílá Tøemešná;;13;54472
Bílá Tøemešná;;14;54472
Bílá Tøemešná;;15;54472
Bílá Tøemešná;;16;54472
Bílá Tøemešná;;17;54472
Bílá Tøemešná;;18;54472
Bílá Tøemešná;;19;54472
Bílá Tøemešná;;20;54472
Bílá Tøemešná;;22;54472
Bílá Tøemešná;;23;54472
Bílá Tøemešná;;24;54472
Bílá Tøemešná;;25;54472
Bílá Tøemešná;;26;54472
Bílá Tøemešná;;27;54472
Bílá Tøemešná;;28;54472
Bílá Tøemešná;;29;54472
Bílá Tøemešná;;30;54472
Bílá Tøemešná;;31;54472
Bílá Tøemešná;;32;54472
Bílá Tøemešná;;33;54472
Bílá Tøemešná;;34;54472
Bílá Tøemešná;;35;54472
Bílá Tøemešná;;36;54472
Bílá Tøemešná;;37;54472
Bílá Tøemešná;;38;54472
Bílá Tøemešná;;39;54472
Bílá Tøemešná;;40;54472
Bílá Tøemešná;;41;54472
Bílá Tøemešná;;42;54472
Bílá Tøemešná;;43;54472
Bílá Tøemešná;;44;54472
Bílá Tøemešná;;45;54472
Bílá Tøemešná;;46;54472
Bílá Tøemešná;;47;54472
Bílá Tøemešná;;48;54472
Bílá Tøemešná;;49;54472
Bílá Tøemešná;;50;54472
Bílá Tøemešná;;51;54472
Bílá Tøemešná;;52;54472
Bílá Tøemešná;;53;54472
Bílá Tøemešná;;54;54472
Bílá Tøemešná;;55;54472
Bílá Tøemešná;;56;54472
Bílá Tøemešná;;57;54472
Bílá Tøemešná;;58;54472
Bílá Tøemešná;;59;54472
Bílá Tøemešná;;60;54472
Bílá Tøemešná;;61;54472
Bílá Tøemešná;;62;54472
Bílá Tøemešná;;63;54472
Bílá Tøemešná;;64;54472
Bílá Tøemešná;;65;54472
Bílá Tøemešná;;66;54472
Bílá Tøemešná;;67;54472
Bílá Tøemešná;;68;54472
Bílá Tøemešná;;69;54472
Bílá Tøemešná;;70;54472
Bílá Tøemešná;;71;54472
Bílá Tøemešná;;73;54472
Bílá Tøemešná;;74;54472
Bílá Tøemešná;;75;54472
Bílá Tøemešná;;76;54472
Bílá Tøemešná;;77;54472
Bílá Tøemešná;;78;54472
Bílá Tøemešná;;79;54472
Bílá Tøemešná;;80;54472
Bílá Tøemešná;;81;54472
Bílá Tøemešná;;82;54472
Bílá Tøemešná;;83;54472
Bílá Tøemešná;;84;54472
Bílá Tøemešná;;85;54472
Bílá Tøemešná;;86;54472
Bílá Tøemešná;;87;54472
Bílá Tøemešná;;88;54472
Bílá Tøemešná;;89;54472
Bílá Tøemešná;;90;54472
Bílá Tøemešná;;91;54472
Bílá Tøemešná;;92;54472
Bílá Tøemešná;;93;54472
Bílá Tøemešná;;94;54472
Bílá Tøemešná;;95;54472
Bílá Tøemešná;;96;54472
Bílá Tøemešná;;97;54472
Bílá Tøemešná;;98;54472
Bílá Tøemešná;;99;54472
Bílá Tøemešná;;100;54472
Bílá Tøemešná;;101;54472
Bílá Tøemešná;;102;54472
Bílá Tøemešná;;103;54472
Bílá Tøemešná;;104;54472
Bílá Tøemešná;;105;54472
Bílá Tøemešná;;106;54472
Bílá Tøemešná;;107;54472
Bílá Tøemešná;;108;54472
Bílá Tøemešná;;109;54472
Bílá Tøemešná;;110;54472
Bílá Tøemešná;;111;54472
Bílá Tøemešná;;112;54472
Bílá Tøemešná;;113;54472
Bílá Tøemešná;;114;54472
Bílá Tøemešná;;115;54472
Bílá Tøemešná;;116;54472
Bílá Tøemešná;;117;54472
Bílá Tøemešná;;118;54472
Bílá Tøemešná;;119;54472
Bílá Tøemešná;;120;54472
Bílá Tøemešná;;121;54472
Bílá Tøemešná;;122;54472
Bílá Tøemešná;;123;54472
Bílá Tøemešná;;124;54472
Bílá Tøemešná;;125;54472
Bílá Tøemešná;;126;54472
Bílá Tøemešná;;127;54472
Bílá Tøemešná;;128;54472
Bílá Tøemešná;;129;54472
Bílá Tøemešná;;130;54472
Bílá Tøemešná;;131;54472
Bílá Tøemešná;;132;54472
Bílá Tøemešná;;133;54472
Bílá Tøemešná;;134;54472
Bílá Tøemešná;;135;54472
Bílá Tøemešná;;136;54472
Bílá Tøemešná;;137;54472
Bílá Tøemešná;;138;54472
Bílá Tøemešná;;139;54472
Bílá Tøemešná;;140;54472
Bílá Tøemešná;;141;54472
Bílá Tøemešná;;142;54472
Bílá Tøemešná;;143;54472
Bílá Tøemešná;;144;54472
Bílá Tøemešná;;145;54472
Bílá Tøemešná;;146;54472
Bílá Tøemešná;;147;54472
Bílá Tøemešná;;148;54472
Bílá Tøemešná;;149;54472
Bílá Tøemešná;;150;54472
Bílá Tøemešná;;151;54472
Bílá Tøemešná;;152;54472
Bílá Tøemešná;;153;54472
Bílá Tøemešná;;154;54472
Bílá Tøemešná;;155;54472
Bílá Tøemešná;;156;54472
Bílá Tøemešná;;157;54472
Bílá Tøemešná;;158;54472
Bílá Tøemešná;;159;54472
Bílá Tøemešná;;161;54472
Bílá Tøemešná;;162;54472
Bílá Tøemešná;;164;54472
Bílá Tøemešná;;165;54472
Bílá Tøemešná;;166;54472
Bílá Tøemešná;;167;54472
Bílá Tøemešná;;168;54472
Bílá Tøemešná;;169;54472
Bílá Tøemešná;;170;54472
Bílá Tøemešná;;171;54472
Bílá Tøemešná;;172;54472
Bílá Tøemešná;;173;54472
Bílá Tøemešná;;174;54472
Bílá Tøemešná;;175;54472
Bílá Tøemešná;;176;54472
Bílá Tøemešná;;177;54472
Bílá Tøemešná;;178;54472
Bílá Tøemešná;;180;54472
Bílá Tøemešná;;181;54472
Bílá Tøemešná;;182;54472
Bílá Tøemešná;;183;54472
Bílá Tøemešná;;184;54472
Bílá Tøemešná;;185;54472
Bílá Tøemešná;;186;54472
Bílá Tøemešná;;187;54472
Bílá Tøemešná;;188;54472
Bílá Tøemešná;;189;54472
Bílá Tøemešná;;190;54472
Bílá Tøemešná;;191;54472
Bílá Tøemešná;;192;54472
Bílá Tøemešná;;193;54472
Bílá Tøemešná;;194;54472
Bílá Tøemešná;;195;54472
Bílá Tøemešná;;196;54472
Bílá Tøemešná;;197;54472
Bílá Tøemešná;;198;54472
Bílá Tøemešná;;199;54472
Bílá Tøemešná;;200;54472
Bílá Tøemešná;;201;54472
Bílá Tøemešná;;202;54472
Bílá Tøemešná;;203;54472
Bílá Tøemešná;;204;54472
Bílá Tøemešná;;205;54472
Bílá Tøemešná;;206;54472
Bílá Tøemešná;;207;54472
Bílá Tøemešná;;208;54472
Bílá Tøemešná;;209;54472
Bílá Tøemešná;;210;54472
Bílá Tøemešná;;211;54472
Bílá Tøemešná;;212;54472
Bílá Tøemešná;;213;54472
Bílá Tøemešná;;214;54472
Bílá Tøemešná;;215;54472
Bílá Tøemešná;;216;54472
Bílá Tøemešná;;217;54472
Bílá Tøemešná;;218;54472
Bílá Tøemešná;;219;54472
Bílá Tøemešná;;220;54472
Bílá Tøemešná;;221;54472
Bílá Tøemešná;;222;54472
Bílá Tøemešná;;223;54472
Bílá Tøemešná;;224;54472
Bílá Tøemešná;;225;54472
Bílá Tøemešná;;226;54472
Bílá Tøemešná;;227;54472
Bílá Tøemešná;;228;54472
Bílá Tøemešná;;229;54472
Bílá Tøemešná;;230;54472
Bílá Tøemešná;;231;54472
Bílá Tøemešná;;232;54472
Bílá Tøemešná;;233;54472
Bílá Tøemešná;;234;54472
Bílá Tøemešná;;235;54472
Bílá Tøemešná;;236;54472
Bílá Tøemešná;;237;54472
Bílá Tøemešná;;238;54472
Bílá Tøemešná;;239;54472
Bílá Tøemešná;;240;54472
Bílá Tøemešná;;241;54472
Bílá Tøemešná;;242;54472
Bílá Tøemešná;;243;54472
Bílá Tøemešná;;244;54472
Bílá Tøemešná;;245;54472
Bílá Tøemešná;;246;54472
Bílá Tøemešná;;247;54472
Bílá Tøemešná;;248;54472
Bílá Tøemešná;;249;54472
Bílá Tøemešná;;250;54472
Bílá Tøemešná;;251;54472
Bílá Tøemešná;;252;54472
Bílá Tøemešná;;253;54472
Bílá Tøemešná;;254;54472
Bílá Tøemešná;;255;54472
Bílá Tøemešná;;256;54472
Bílá Tøemešná;;257;54472
Bílá Tøemešná;;258;54472
Bílá Tøemešná;;259;54472
Bílá Tøemešná;;260;54472
Bílá Tøemešná;;261;54472
Bílá Tøemešná;;262;54472
Bílá Tøemešná;;263;54472
Bílá Tøemešná;;264;54472
Bílá Tøemešná;;265;54472
Bílá Tøemešná;;266;54472
Bílá Tøemešná;;267;54472
Bílá Tøemešná;;268;54472
Bílá Tøemešná;;269;54472
Bílá Tøemešná;;270;54472
Bílá Tøemešná;;271;54472
Bílá Tøemešná;;272;54472
Bílá Tøemešná;;273;54472
Bílá Tøemešná;;274;54472
Bílá Tøemešná;;275;54472
Bílá Tøemešná;;276;54472
Bílá Tøemešná;;277;54472
Bílá Tøemešná;;278;54472
Bílá Tøemešná;;279;54472
Bílá Tøemešná;;280;54472
Bílá Tøemešná;;281;54472
Bílá Tøemešná;;282;54472
Bílá Tøemešná;;283;54472
Bílá Tøemešná;;284;54472
Bílá Tøemešná;;285;54472
Bílá Tøemešná;;286;54472
Bílá Tøemešná;;287;54472
Bílá Tøemešná;;288;54472
Bílá Tøemešná;;289;54472
Bílá Tøemešná;;290;54472
Bílá Tøemešná;;291;54472
Bílá Tøemešná;;292;54472
Bílá Tøemešná;;293;54472
Bílá Tøemešná;;294;54472
Bílá Tøemešná;;295;54472
Bílá Tøemešná;;296;54472
Bílá Tøemešná;;297;54472
Bílá Tøemešná;;298;54472
Bílá Tøemešná;;299;54472
Bílá Tøemešná;;300;54472
Bílá Tøemešná;;301;54472
Bílá Tøemešná;;302;54472
Bílá Tøemešná;;303;54472
Bílá Tøemešná;;304;54472
Bílá Tøemešná;;305;54472
Bílá Tøemešná;;306;54472
Bílá Tøemešná;;307;54472
Bílá Tøemešná;;308;54472
Bílá Tøemešná;;309;54472
Bílá Tøemešná;;310;54472
Bílá Tøemešná;;311;54472
Bílá Tøemešná;;312;54472
Bílá Tøemešná;;313;54472
Bílá Tøemešná;;314;54472
Bílá Tøemešná;;315;54472
Bílá Tøemešná;;316;54472
Bílá Tøemešná;;317;54472
Bílá Tøemešná;;318;54472
Bílá Tøemešná;;319;54472
Bílá Tøemešná;;320;54472
Bílá Tøemešná;;321;54472
Bílá Tøemešná;;322;54472
Bílá Tøemešná;;323;54472
Bílá Tøemešná;;324;54472
Bílá Tøemešná;;325;54472
Bílá Tøemešná;;326;54472
Bílá Tøemešná;;328;54472
Bílá Tøemešná;;329;54472
Bílá Tøemešná;;330;54472
Bílá Tøemešná;;331;54472
Bílá Tøemešná;;332;54472
Bílá Tøemešná;;333;54472
Bílá Tøemešná;;334;54472
Bílá Tøemešná;;335;54472
Bílá Tøemešná;;336;54472
Bílá Tøemešná;;337;54472
Bílá Tøemešná;;338;54472
Bílá Tøemešná;;339;54472
Bílá Tøemešná;;340;54472
Bílá Tøemešná;;341;54472
Bílá Tøemešná;;342;54472
Bílá Tøemešná;;343;54472
Bílá Tøemešná;;344;54472
Bílá Tøemešná;;345;54472
Bílá Tøemešná;;346;54472
Bílá Tøemešná;;347;54472
Bílá Tøemešná;;348;54472
Bílá Tøemešná;;349;54472
Bílá Tøemešná;;350;54472
Bílá Tøemešná;;351;54472
Bílá Tøemešná;;352;54472
Bílá Tøemešná;;353;54472
Bílá Tøemešná;;354;54472
Bílá Tøemešná;;355;54472
Bílá Tøemešná;;356;54472
Bílá Tøemešná;;357;54472
Bílá Tøemešná;;358;54472
Bílá Tøemešná;;359;54472
Bílá Tøemešná;;360;54472
Bílá Tøemešná;;361;54472
Bílá Tøemešná;;362;54472
Bílá Tøemešná;;363;54472
Bílá Tøemešná;;364;54472
Bílá Tøemešná;;365;54472
Bílá Tøemešná;;366;54472
Bílá Tøemešná;;367;54472
Bílá Tøemešná;;368;54472
Bílá Tøemešná;;369;54472
Bílá Tøemešná;;370;54472
Bílá Tøemešná;;371;54472
Bílá Tøemešná;;372;54472
Bílá Tøemešná;;373;54472
Bílá Tøemešná;;374;54472
Bílá Tøemešná;;375;54472
Bílá Tøemešná;;376;54472
Bílá Tøemešná;;377;54472
Bílá Tøemešná;;378;54472
Bílá Tøemešná;;379;54472
Bílá Tøemešná;;380;54472
Bílá Tøemešná;;381;54472
Bílá Tøemešná;;382;54472
Bílá Tøemešná;;383;54472
Bílá Tøemešná;;384;54472
Bílá Tøemešná;;385;54472
Bílá Tøemešná;;386;54472
Bílá Tøemešná;;387;54472
Bílá Tøemešná;;388;54472
Bílá Tøemešná;;389;54472
Bílá Tøemešná;;390;54472
Bílá Tøemešná;;391;54472
Bílá Tøemešná;;392;54472
Bílá Tøemešná;;393;54472
Bílá Tøemešná;;394;54472
Bílá Tøemešná;;395;54472
Bílá Tøemešná;;396;54472
Bílá Tøemešná;;397;54472
Bílá Tøemešná;;398;54472
Bílá Tøemešná;;399;54472
Bílá Tøemešná;;400;54472
Bílá Tøemešná;;401;54472
Bílá Tøemešná;;402;54472
Bílá Tøemešná;;403;54472
Bílá Tøemešná;;1;54472
Bílá Tøemešná;;2;54472
Bílá Tøemešná;;3;54472
Bílá Tøemešná;;4;54472
Bílá Tøemešná;;5;54472
Bílá Tøemešná;;6;54472
Bílá Tøemešná;;7;54472
Bílá Tøemešná;;8;54472
Bílá Tøemešná;;9;54472
Bílá Tøemešná;;10;54472
Bílá Tøemešná;;11;54472
Bílá Tøemešná;;12;54472
Bílá Tøemešná;;13;54472
Bílá Tøemešná;;14;54472
Bílá Tøemešná;;15;54472
Bílá Tøemešná;;16;54472
Bílá Tøemešná;;17;54472
Bílá Tøemešná;;18;54472
Bílá Tøemešná;;19;54472
Bílá Tøemešná;;20;54472
Bílá Tøemešná;;21;54472
Bílá Tøemešná;;23;54472
Bílá Tøemešná;;24;54472
Bílá Tøemešná;;26;54472
Bílá Tøemešná;;27;54472
Bílá Tøemešná;;28;54472
Bílá Tøemešná;;29;54472
Bílá Tøemešná;;30;54472
Bílá Tøemešná;;31;54472
Bílá Tøemešná;;32;54472
Bílá Tøemešná;;50;54472
Bílá Tøemešná;;52;54472
Bílá Tøemešná;;53;54472
Bílá Tøemešná;;55;54472
Bílá Tøemešná;;56;54472
Bílá Tøemešná;;57;54472
Bílá Tøemešná;;58;54472
Bílá Tøemešná;;59;54472
Bílá Tøemešná;;61;54472
Bílá Tøemešná;;70;54472
Bílá Tøemešná;;71;54472
Bílá Tøemešná;;72;54472
Bílá Tøemešná;;73;54472
Bílá Tøemešná;;74;54472
Bílá Tøemešná;;75;54472
Bílá Tøemešná;;76;54472
Bílá Tøemešná;;77;54472
Bílá Tøemešná;;78;54472
Bílá Tøemešná;;79;54472
Bílá Tøemešná;;80;54472
Bílá Tøemešná;;81;54472
Bílá Tøemešná;;83;54472
Bílá Tøemešná;;84;54472
Bílá Tøemešná;;85;54472
Bílá Tøemešná;;86;54472
Bílá Tøemešná;;87;54472
Bílá Tøemešná;;88;54472
Bílá Tøemešná;;89;54472
Bílá Tøemešná;;90;54472
Bílá Tøemešná;;91;54472
Bílá Tøemešná;;92;54472
Nové Lesy;;1;54401
Nové Lesy;;2;54401
Nové Lesy;;3;54401
Nové Lesy;;4;54401
Nové Lesy;;5;54401
Nové Lesy;;6;54401
Nové Lesy;;7;54401
Nové Lesy;;8;54401
Nové Lesy;;9;54401
Nové Lesy;;10;54401
Nové Lesy;;11;54401
Nové Lesy;;12;54401
Nové Lesy;;13;54401
Nové Lesy;;14;54401
Nové Lesy;;15;54401
Nové Lesy;;16;54401
Nové Lesy;;17;54401
Nové Lesy;;18;54401
Nové Lesy;;19;54401
Nové Lesy;;20;54401
Nové Lesy;;21;54401
Nové Lesy;;22;54401
Nové Lesy;;23;54401
Nové Lesy;;24;54401
Nové Lesy;;25;54401
Nové Lesy;;26;54401
Nové Lesy;;27;54401
Nové Lesy;;28;54401
Nové Lesy;;29;54401
Nové Lesy;;30;54401
Nové Lesy;;31;54401
Nové Lesy;;32;54401
Nové Lesy;;33;54401
Nové Lesy;;34;54401
Nové Lesy;;35;54401
Nové Lesy;;36;54401
Nové Lesy;;37;54401
Nové Lesy;;38;54401
Nové Lesy;;39;54401
Nové Lesy;;40;54401
Nové Lesy;;41;54401
Nové Lesy;;42;54401
Nové Lesy;;43;54401
Nové Lesy;;44;54401
Nové Lesy;;45;54401
Nové Lesy;;46;54401
Nové Lesy;;47;54401
Nové Lesy;;48;54401
Nové Lesy;;49;54401
Nové Lesy;;50;54401
Nové Lesy;;51;54401
Nové Lesy;;52;54401
Nové Lesy;;53;54401
Nové Lesy;;54;54401
Nové Lesy;;55;54401
Nové Lesy;;56;54401
Nové Lesy;;57;54401
Nové Lesy;;58;54401
Nové Lesy;;59;54401
Nové Lesy;;60;54401
Nové Lesy;;61;54401
Nové Lesy;;62;54401
Nové Lesy;;63;54401
Nové Lesy;;64;54401
Nové Lesy;;65;54401
Nové Lesy;;66;54401
Nové Lesy;;67;54401
Nové Lesy;;68;54401
Nové Lesy;;69;54401
Nové Lesy;;70;54401
Nové Lesy;;71;54401
Nové Lesy;;72;54401
Nové Lesy;;1;54401
Nové Lesy;;2;54401
Nové Lesy;;3;54401
Nové Lesy;;4;54401
Nové Lesy;;5;54401
Bílá Tøemešná;;405;54472
Bílá Tøemešná;;406;54472
Nové Lesy;;74;54401
Bílá Tøemešná;;407;54472
Bílá Tøemešná;;408;54472
Bílá Tøemešná;;410;54472
Bílá Tøemešná;;409;54472
Bílá Tøemešná;;414;54472
Bílá Tøemešná;;404;54472
Bílá Tøemešná;;412;54472
Nové Lesy;;73;54401
Nové Lesy;;7;54401
Bílá Tøemešná;;423;54472
Nové Lesy;;75;54401
Bílá Tøemešná;;425;54472
Bílá Tøemešná;;424;54472
Bílá Tøemešná;;411;54472
Bílá Tøemešná;;413;54472
Bílá Tøemešná;;415;54472
Bílá Tøemešná;;416;54472
Bílá Tøemešná;;417;54472
Bílá Tøemešná;;418;54472
Bílá Tøemešná;;419;54472
Bílá Tøemešná;;420;54472
Bílá Tøemešná;;421;54472
Bílá Tøemešná;;422;54472
Bílá Tøemešná;;426;54472
Nové Lesy;;79;54401
Nové Lesy;;80;54401
Bílá Tøemešná;;427;54472
Bílá Tøemešná;;72;54472
Bílá Tøemešná;;54;54472
Nové Lesy;;76;54401
Nové Lesy;;77;54401
Nové Lesy;;78;54401
Bílá Tøemešná;;82;54472
Nové Lesy;;6;54401
Bílá Tøemešná;;428;54472
Bílá Tøemešná;;429;54472
Bílá Tøemešná;;430;54472
Bílá Tøemešná;;431;54472
Bílá Tøemešná;;432;54472
Nové Lesy;;81;54401
Nové Lesy;;82;54401
Bílá Tøemešná;;433;54472
Bílá Tøemešná;;434;54472
Bílá Tøemešná;;435;54472
Bílá Tøemešná;;436;54472
Bílá Tøemešná;;437;54472
Nové Lesy;;83;54401
Bílá Tøemešná;;438;54472
Nové Lesy;;84;54401
Nové Lesy;;85;54401
Nové Lesy;;86;54401
Bílá Tøemešná;;439;54472
Bílá Tøemešná;;440;54472
Bílá Tøemešná;;441;54472
Bílá Tøemešná;;442;54472
Bílá Tøemešná;;443;54472
Bílá Tøemešná;;444;54472
Bílá Tøemešná;;446;54472
Bílá Tøemešná;;445;54472
Bílá Tøemešná;;447;54472
Nové Lesy;;87;54401
Nové Lesy;;88;54401
Bílá Tøemešná;;449;54472
Bílá Tøemešná;;450;54472
